Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué innovación de Basile Bouchon permitió que se pudieran realizar tareas repetitivas en un telar?";"";"";"Adaptar los mecanismos de relojería al telar y utilizar una cinta perforada para programar secuencias.";"Adaptar los mecanismos de relojería al telar para que fabricara siempre el mismo patrón de dibujo en las telas.";"Utilizar relés electromecánicos para programar un telar automático.";"Utilizar válvulas de vacío para programar un telar automático.";"";"";"es-hardware-intro-2"
"¿Qué invento de Joseph Marie Jacquard permitió programar el telar de forma automática?";"";"";"Tarjetas perforadas.";"Máquina analítica.";"Dispositivos de entrada basados en cinta perforada.";"Procesador aritmético.";"";"";"es-hardware-intro-2"
"¿Cuál fue el nombre de la máquina mecánica programable para hacer cualquier tipo de cálculo que diseñó Charles Babbage?";"";"";"Máquina analítica";"Z1";"Colossus Mark I";"ENIAC";"";"";"es-hardware-intro-2"
"¿Qué tecnología desarrolló Herman Hollerith para el censo de los Estados Unidos de América de 1890?";"";"";"Procesamiento de tarjetas perforadas para la tabulación de datos.";"La máquina mecánica programable analítica.";"El ordenador general para la tabulación de datos censales.";"Dispositivos de entrada basados en tarjetas perforadas.";"";"";"es-hardware-intro-2"
"¿Qué sistema informático totalmente programable creó Konrad Zuse en 1936, basado en relés electromecánicos?";"";"";"El ordenador Z1";"La máquina analítica";"El ordenador Colossus Mark I";"El ordenador ENIAC";"";"";"es-hardware-intro-2"
"¿Qué tipo de tecnología se utilizó en los ordenadores desarrollados durante la segunda guerra mundial?";"";"";"Válvulas de vacío";"Transistores semiconductores";"Relés electromecánicos";"Mecanismos de relojería";"";"";"es-hardware-intro-2"
"¿Para qué se utilizó el Colossus Mark I, fabricado por los británicos en 1944?";"";"";"Para descifrar los mensajes de la máquina de cifrado alemana enigma.";"Para calcular tablas de tiro balístico.";"Para crear, ordenar y tabular tarjetas perforadas del censo.";"Para realizar cualquier tipo de cálculo matemático complejo.";"";"";"es-hardware-intro-2"
"¿Cuál fue la compañía fundada por Herman Hollerith que se uniría a otras dos compañías para formar la actual IBM?";"";"";"Tabulating Machine Company.";"Basile Bouchon Company.";"Joseph Jacquard Company.";"Konrad Zuse Company.";"";"";"es-hardware-intro-2"
"¿Qué hizo Charles Babbage entre 1833 y 1842?";"";"";"Diseño e intentó construir una máquina mecánica programable para hacer cualquier tipo de cálculo.";"Diseño e intentó construir una máquina mecánica programable para hacer cualquier tipo de ordenación de datos.";"Desarrolló la tecnología de procesamiento de tarjetas perforadas de datos.";"Adaptó los mecanismos de relojería utilizados en las cajas de música a la tarea repetitiva de un telar.";"";"";"es-hardware-intro-2"
"¿Cuándo apareció el ordenador TRADIC que utilizó la nueva tecnología de los transistores?";"";"";"1954";"1945";"1964";"1974";"";"";"es-hardware-intro-2"
"¿Qué empresa presentó el primer microprocesador en un solo chip en 1971?";"";"";"Intel";"IBM";"Apple";"Microsoft";"";"";"es-hardware-intro-2"
"¿Cuándo aparecieron los primeros ordenadores personales de venta masiva?";"";"";"En la década de 1970";"En la década de 1980";"En la década de 1990";"En la década de 2000";"";"";"es-hardware-intro-2"
"¿Qué empresa lanzó su ordenador personal con sistema operativo de Microsoft en 1981?";"";"";"IBM";"Intel";"Apple";"Google";"";"";"es-hardware-intro-2"
"¿En qué década comenzó a ser utilizada de forma masiva la red Arpanet, limitada a universidades, centros de cálculo o bases militares?";"";"";"En la década de 1960";"En la década de 1970";"En la década de 1980";"En la década de 1990";"";"";"es-hardware-intro-2"
"¿Cuándo apareció la empresa Google con un buscador que facilitaba enormemente las búsquedas de páginas web en internet?";"";"";"En 1998";"En 1995";"En 2005";"En 2008";"";"";"es-hardware-intro-2"
"¿Qué empresa lanzó al mercado el primer teléfono inteligente con pantalla táctil en 2007?";"";"";"Apple";"IBM";"Microsoft";"Google";"";"";"es-hardware-intro-2"
"¿Qué permitió el diseño abierto del ordenador personal de IBM lanzado en 1981?";"";"";"Que otras compañías fabricasen ordenadores clónicos compatibles.";"Que se pudiese utilizar en empresas y no solo a nivel personal.";"Que el sistema operativo fuera gratuito.";"Que el ordenador fuera más barato que sus competidores.";"";"";"es-hardware-intro-2"
"¿Qué tecnología sigue utilizándose en los ordenadores actuales?";"";"";"La tecnología de transistores.";"La tecnología de válvulas de vacío.";"La tecnología de los relés electromecánicos.";"La tecnología de computación cuántica.";"";"";"es-hardware-intro-2"
