Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué es una tableta gráfica?";"";"";"Un periférico que permite introducir gráficos o dibujos a mano.";"Un periférico que permite introducir texto mediante reconocimiento de voz.";"Un periférico que permite introducir texto mediante un teclado.";"Un periférico que permite introducir gráficos o dibujos mediante el ratón.";"";"";"es-hardware-perifericos-3"
"¿Para qué se utiliza el estilete en la tableta gráfica?";"";"";"Para dibujar una imagen.";"Para introducir texto mediante reconocimiento de voz.";"Para apuntar y señalar los objetos que se encuentran en la pantalla del ordenador.";"Para navegar por internet.";"";"";"es-hardware-perifericos-3"
"¿Qué permite hacer la tableta gráfica con respecto a la pantalla del ordenador?";"";"";"Permite apuntar y señalar los objetos que se encuentran en la pantalla del ordenador.";"Permite controlar el brillo y contraste de la pantalla del ordenador.";"Permite introducir texto mediante reconocimiento de voz.";"Permite mover y redimensionar objetos en la pantalla del ordenador.";"";"";"es-hardware-perifericos-3"
"¿Dónde puede aparecer la imagen que se dibuja en la tableta gráfica?";"";"";"En la tableta y en el ordenador a la vez o solo en el ordenador.";"Solo en la tableta.";"Solo en el ordenador.";"En ningún sitio, ya que la tableta no permite dibujar imágenes.";"";"";"es-hardware-perifericos-3"
"¿Qué ventaja tiene utilizar una tableta gráfica en lugar del ratón para dibujar?";"";"";"La posibilidad de dibujar con mayor precisión y naturalidad.";"La posibilidad de navegar más rápidamente por internet.";"La posibilidad de controlar el brillo y contraste de la pantalla del ordenador.";"Ninguna, ya que el ratón y la tableta gráfica son equivalentes en términos de dibujo.";"";"";"es-hardware-perifericos-3"
"¿Qué es el GPS?";"";"";"Un sistema de posicionamiento global que utiliza satélites artificiales.";"Un sistema de comunicación por radio.";"Una red de cámaras de vigilancia.";"Un sistema de intercambio de archivos entre ordenadores.";"";"";"es-hardware-perifericos-3"
"¿Qué precisión tiene el GPS para localizar un receptor?";"";"";"Pocos metros.";"Pocos kilómetros.";"Pocos centímetros.";"Varias decenas de metros.";"";"";"es-hardware-perifericos-3"
"¿Qué servicios permite el GPS en los teléfonos inteligentes?";"";"";"Navegación punto a punto, localización de amigos cercanos, cálculo de recorridos para runners.";"Juegos, descargas de música, películas y libros electrónicos.";"Mensajería instantánea, videollamadas, correos electrónicos.";"Ninguna de las anteriores.";"";"";"es-hardware-perifericos-3"
"¿Qué información sensible y privada se puede deducir de la localización GPS de una persona?";"";"";"Dónde vive, qué lugares y qué personas frecuenta, a qué hora sale de casa o del trabajo, en qué vehículos se mueve, etc.";"Su número de teléfono, correo electrónico y contraseña.";"Su nombre completo, fecha de nacimiento y número de DNI.";"Ninguna de las anteriores.";"";"";"es-hardware-perifericos-3"
"¿Por qué es importante restringir el uso del GPS a los momentos y aplicaciones que consideremos imprescindibles?";"";"";"Porque la localización GPS da información sensible y privada.";"Porque el GPS consume mucha batería del dispositivo.";"Porque el GPS puede interferir en otros dispositivos electrónicos cercanos.";"Porque el GPS puede ralentizar el funcionamiento del dispositivo.";"";"";"es-hardware-perifericos-3"
"¿Qué es un acelerómetro?";"";"";"Un sensor capaz de medir aceleraciones.";"Un dispositivo que reproduce música.";"Un software para editar fotografías.";"Un juego de videoconsola.";"";"";"es-hardware-perifericos-3"
"¿En qué dispositivos está integrado el acelerómetro?";"";"";"Smartphones, pulseras de actividad física, mandos de videoconsolas, etc.";"Televisores, reproductores de música, proyectores, etc.";"Cámaras fotográficas, relojes de pulsera, planchas para el pelo, etc.";"Consolas de videojuegos, ordenadores de sobremesa, etc.";"";"";"es-hardware-perifericos-3"
"¿Para qué se utilizan los acelerómetros en los juegos de baile?";"";"";"Para saber dónde está nuestra mano y cómo la movemos.";"Para medir la temperatura corporal.";"Para contar el número de pasos que damos.";"Para saber cuántas calorías quemamos.";"";"";"es-hardware-perifericos-3"
"¿Qué permite conocer el acelerómetro en aplicaciones médicas?";"";"";"La predicción de la aparición de Alzheimer.";"La medición de la presión arterial.";"La detección de enfermedades cardíacas.";"La evaluación de la salud dental.";"";"";"es-hardware-perifericos-3"
"¿Qué otra aplicación tiene el acelerómetro aparte de los juegos y la fotografía?";"";"";"Conocer dónde se encuentra el suelo y girar las fotografías.";"Identificar la ubicación de una persona en un edificio.";"Detectar el clima y las condiciones atmosféricas.";"Controlar la apertura y cierre de puertas automáticas.";"";"";"es-hardware-perifericos-3"
"¿Qué función tiene el giroscopio?";"";"";"Conocer la orientación en el espacio de un objeto.";"Medir aceleraciones.";"Detectar el movimiento al andar o correr.";"Conocer la temperatura de la batería del smartphone.";"";"";"es-hardware-perifericos-3"
"¿Qué tipo de dispositivo incluye un giroscopio?";"";"";"Smartphones.";"Coches.";"Consolas de videojuegos.";"Neveras.";"";"";"es-hardware-perifericos-3"
"¿Qué función tiene el magnetómetro?";"";"";"Situar el norte como lo hace una brújula.";"Medir aceleraciones.";"Detectar el movimiento al andar o correr.";"Conocer la temperatura de la batería del smartphone.";"";"";"es-hardware-perifericos-3"
"¿Por qué podemos conocer el uso que estamos dando al smartphone con el termómetro de la batería?";"";"";"Porque un mayor uso se traduce en una mayor temperatura de la batería.";"Porque un mayor uso se traduce en una menor temperatura de la batería.";"Porque el termómetro de la batería mide la velocidad del procesador.";"Porque el termómetro de la batería mide la cantidad de memoria RAM disponible.";"";"";"es-hardware-perifericos-3"
"¿Qué otra información se puede obtener con el termómetro de la batería?";"";"";"Si se está cargando el teléfono o la temperatura ambiente.";"Si se está cargando el teléfono o el nivel de batería.";"La orientación en el espacio.";"La velocidad del procesador.";"";"";"es-hardware-perifericos-3"
