Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué significan las siglas DIMM?";"";"";"Dual In-line Memory Module";"Dynamic In-line Memory Module";"Double In-line Memory Module";"Direct In-line Memory Module";"";"";"es-hardware-comunicaciones-3"
"¿Para qué sirve el zócalo DIMM?";"";"";"Para conectar módulos de memoria RAM a la placa base.";"Para conectar discos duros a la placa base.";"Para conectar la tarjeta gráfica a la placa base.";"Para conectar el microprocesador a la placa base.";"";"";"es-hardware-comunicaciones-3"
"¿Qué diferencia hay entre los distintos módulos de memoria RAM que se pueden conectar a un zócalo DIMM?";"";"";"Diferente número de contactos, tamaño y posición de la ranura central.";"Diferente color y forma.";"Solo cambia el número de contactos de conexión.";"Todos tienen el mismo tipo de conector DIMM.";"";"";"es-hardware-comunicaciones-3"
"¿Qué es el zócalo de CPU?";"";"";"Es el conector que permite conectar el microprocesador a la placa base.";"Es el conector que permite conectar la memoria RAM a la placa base.";"Es el conector que permite conectar la tarjeta gráfica a la placa base.";"Es el conector que permite conectar el disco duro a la placa base.";"";"";"es-hardware-comunicaciones-3"
"¿Qué ocurre si se intenta conectar un microprocesador en un zócalo que no es compatible?";"";"";"El microprocesador no se conectará y no funcionará.";"El microprocesador se conectará pero no funcionará.";"El microprocesador se conectará y funcionará correctamente.";"El zócalo se estropeará y no se podrá volver a utilizar.";"";"";"es-hardware-comunicaciones-3"
"¿Qué es necesario hacer para aumentar la potencia del ordenador cambiando el microprocesador antiguo por otro más potente?";"";"";"Comprobar que el nuevo microprocesador es compatible con el zócalo de CPU de la placa base.";"Cambiar la CPU y también la placa base.";"Comprar un ordenador nuevo.";"Añadir más memoria RAM a la placa base.";"";"";"es-hardware-comunicaciones-3"
"¿Qué fabricantes de CPU utilizan diferentes zócalos de CPU?";"";"";"Intel y AMD";"Intel y NVIDIA";"AMD y NVIDIA";"AMD y Asus";"";"";"es-hardware-comunicaciones-3"
"¿Cuándo comenzó a usarse el USB de forma masiva?";"";"";"A partir de 1998";"A partir de 1995";"A partir de 2005";"A partir de 2010";"";"";"es-hardware-comunicaciones-3"
"¿Qué estándar USB alcanza una velocidad de 50 Mbyte/s?";"";"";"USB 2.0";"USB 1.1";"USB 3.0";"USB 4.0";"";"";"es-hardware-comunicaciones-3"
"¿Qué conector es el más moderno y compatible con la especificación de USB 4?";"";"";"Conector C";"Conector A";"Conector B";"Conector mini";"";"";"es-hardware-comunicaciones-3"
"¿Qué tecnología permite que el conector USB C pueda alimentar dispositivos con una potencia de hasta 100 vatios?";"";"";"Power Delivery";"USB 4.0";"USB 3.0";"USB 2.0";"";"";"es-hardware-comunicaciones-3"
"¿Para qué se utilizan los conectores de audio analógicos?";"";"";"Para conectar micrófonos y auriculares.";"Para conectar teclados y ratones.";"Para intercambio de datos de audio digital.";"Para dar conexión de datos y alimentación a dispositivos de audio.";"";"";"es-hardware-comunicaciones-3"
"¿Cuál es el conector de audio analógico más popular?";"";"";"Conector de 3,5 mm.";"Conector de 2,5 mm.";"Conector RCA.";"Conector XLR.";"";"";"es-hardware-comunicaciones-3"
"¿Qué color de conector de audio analógico se utiliza para la salida de audio de canales frontales?";"";"";"Verde";"Azul";"Rosa/Rojo";"Negro";"";"";"es-hardware-comunicaciones-3"
"¿Qué color de conector de audio analógico se utiliza para la entrada de micrófono?";"";"";"Rosa/Rojo";"Verde";"Azul";"Negro";"";"";"es-hardware-comunicaciones-3"
"¿Para qué se emplea el conector PS/2?";"";"";"Para conectar teclados y ratones.";"Para conectar micrófonos y auriculares.";"Para conectar memorias antiguas.";"Para conectar audio digital.";"";"";"es-hardware-comunicaciones-3"
"¿Cuál es la función del conector PS/2 morado?";"";"";"Conexión de teclado";"Conexión de ratón";"Entrada de audio";"Salida de audio";"";"";"es-hardware-comunicaciones-3"
