Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Por qué los archivos en formato RAW ocupan más espacio que las imágenes equivalentes en formato JPEG?";"";"";"Porque se almacenan sin pérdidas y tienen mayor profundidad de color.";"Porque utilizan compresión sin pérdidas.";"Porque tienen mayor profundidad de color.";"En realidad el formato RAW ocupa menos espacio que el formato JPEG.";"";"";"es-software-formatos-imagen-5"
"¿Qué ventaja tiene el formato RAW en relación con la luminosidad y el rango dinámico?";"";"";"Permite ajustarlos sin perder calidad en el resultado final.";"Limita las posibilidades de edición.";"Reduce la luminosidad de las imágenes.";"Fija el rango dinámico de forma permanente.";"";"";"es-software-formatos-imagen-5"
"¿Cuál es el propósito principal del formato RAW?";"";"";"Guardar las imágenes tal y como fueron captadas por el sensor de la cámara.";"Comprimir las imágenes para ahorrar espacio de almacenamiento.";"Facilitar el intercambio de imágenes en redes sociales.";"Mejorar la velocidad de captura de las cámaras fotográficas.";"";"";"es-software-formatos-imagen-5"
"¿Por qué puede haber incompatibilidades con el formato RAW en el futuro?";"";"";"Por la falta de estandarización entre fabricantes.";"Por el tamaño excesivo de los archivos almacenados.";"Por el uso de compresión con pérdidas.";"Por las limitaciones que tiene en la profundidad de color.";"";"";"es-software-formatos-imagen-5"
"¿Cuál es la recomendación principal para guardar imágenes de texto o imágenes de dibujo?";"";"";"Utilizar el formato PNG";"Utilizar el formato JPEG";"Utilizar ambos formatos por igual";"Utilizar el formato GIF";"";"";"es-software-formatos-imagen-5"
"¿Qué ventaja destaca el texto al utilizar el formato PNG para imágenes de texto o imágenes de dibujo?";"";"";"Menor tamaño y mejor calidad";"Mayor tamaño y mejor calidad";"Menor tamaño y menor calidad";"Mayor tamaño y menor calidad";"";"";"es-software-formatos-imagen-5"
"¿Qué formato es preferible para guardar fotografías, JPEG o PNG?";"";"";"JPEG, porque ocupa menos espacio.";"PNG.";"GIF.";"BMP.";"";"";"es-software-formatos-imagen-5"
"¿Qué característica tiene el formato JPEG al guardar fotografías?";"";"";"Menor tamaño y calidad semejante.";"Mayor tamaño y calidad semejante.";"Menor tamaño y mejor calidad.";"Mayor tamaño y mejor calidad.";"";"";"es-software-formatos-imagen-5"
"¿Cuál es la afirmación correcta sobre la calidad del formato JPEG?";"";"";"La calidad será menor, pero no se apreciará a simple vista.";"La calidad será mayor y se apreciará a simple vista.";"La calidad será siempre igual en todos los casos.";"La calidad será mayor solo en imágenes pequeñas.";"";"";"es-software-formatos-imagen-5"
"¿Cuándo será menor la calidad del formato JPEG respecto al formato PNG?";"";"";"Siempre, pero normalmente no se apreciará a simple vista.";"Siempre será menor y se apreciará a simple vista.";"Solo en imágenes grandes.";"Solo en imágenes pequeñas.";"";"";"es-software-formatos-imagen-5"
